city,id,name,state_id,state_abbr,state_name,county_name,zip,lat,lng,population
Ellenburg,10415,Ellenburg,36,NY,New York,Clinton,12934,44.8939294,-73.8365371,
Ellenburg Depot,10416,Ellenburg Depot,36,NY,New York,Clinton,12935,44.9058729,-73.8009813,
Ellendale,10417,Ellendale,38,ND,North Dakota,Dickey,58436,46.0027502,-98.5270458,1394
Ellendale,10418,Ellendale,10,DE,Delaware,Sussex,19941,38.8070575,-75.4226971,381
Ellendale,10419,Ellendale,27,MN,Minnesota,Steele,56026,43.8727383,-93.3013213,691
Ellendale,10420,Ellendale,22,LA,Louisiana,Terrebonne,70395,29.6321567,-90.8092594,
Ellendale,10421,Ellendale,47,TN,Tennessee,Shelby,38135,35.2306436,-89.8259183,
Ellensburg,10422,Ellensburg,53,WA,Washington,Kittitas,98926,46.9965144,-120.5478474,18174
Ellenton,10423,Ellenton,12,FL,Florida,Manatee,34222 34221,27.521705,-82.5275963,4275
Ellenton,10424,Ellenton,13,GA,Georgia,Colquitt,31747,31.1760205,-83.587389,281
Ellenville,10425,Ellenville,36,NY,New York,Ulster,12420 12428,41.7170379,-74.39571,4135
Ellenwood,10426,Ellenwood,13,GA,Georgia,Clayton,30294,33.6101096,-84.287978,
Ellerbe,10427,Ellerbe,37,NC,North Carolina,Richmond,28338,35.0712608,-79.7614395,1054
Ellerslie,10428,Ellerslie,24,MD,Maryland,Allegany,21502 21529,39.7206417,-78.7741855,572
Ellettsville,10429,Ellettsville,18,IN,Indiana,Monroe,47429 47404,39.2339348,-86.6250008,6378
Ellicott,10430,Ellicott,8,CO,Colorado,El Paso,80808,38.8383279,-104.3869093,1131
Ellicott,10431,Ellicott,36,NY,New York,Erie,14127,42.734504,-78.7314182,
Ellicott City,10432,Ellicott City,24,MD,Maryland,Howard,21042 21043 21041,39.2673284,-76.7983067,65834
Ellicottville,10433,Ellicottville,36,NY,New York,Cattaraugus,14731,42.2750639,-78.6728071,376
Ellijay,10434,Ellijay,13,GA,Georgia,Gilmer,30540,34.6948076,-84.4821498,1619
Ellinger,10435,Ellinger,48,TX,Texas,Fayette,78938,29.8393953,-96.7052536,
Ellington,10436,Ellington,29,MO,Missouri,Reynolds,63638,37.2417147,-90.9687356,987
Ellington,10437,Ellington,9,CT,Connecticut,Tolland,6029,41.9039863,-72.4698071,
Ellington,10438,Ellington,36,NY,New York,Chautauqua,14732,42.2167263,-79.1078204,
Ellinwood,10439,Ellinwood,20,KS,Kansas,Barton,67530 67526,38.3555675,-98.5809106,2131
Elliott,10440,Elliott,38,ND,North Dakota,Ransom,58054,46.4021898,-97.8148228,25
Elliott,10441,Elliott,19,IA,Iowa,Montgomery,51532,41.1491582,-95.1638809,350
Elliott,10442,Elliott,17,IL,Illinois,Ford,60933,40.4647562,-88.2722728,295
Elliott,10443,Elliott,24,MD,Maryland,Dorchester,21869,38.3101221,-75.9963244,52
Elliott,10444,Elliott,28,MS,Mississippi,Grenada,38901 38925,33.6834515,-89.7492512,990
Elliott,10445,Elliott,5,AR,Arkansas,Ouachita,71701,33.4573413,-92.8279401,
Elliotts Bluff,10446,Elliotts Bluff,13,GA,Georgia,Camden,31558,30.8457903,-81.5614874,
Ellis,10447,Ellis,20,KS,Kansas,Ellis,67637,38.9380662,-99.5606669,2062
Ellis,10448,Ellis,16,ID,Idaho,Lemhi,83235,44.6918699,-114.0483949,
Ellis,10449,Ellis,31,NE,Nebraska,Gage,68310,40.2183344,-96.8758615,
Ellis Grove,10450,Ellis Grove,17,IL,Illinois,Randolph,62241,38.0089404,-89.9059408,363
Ellisburg,10451,Ellisburg,36,NY,New York,Jefferson,13661 13636,43.7328451,-76.1360363,244
Ellisforde,10452,Ellisforde,53,WA,Washington,Okanogan,98855,48.7898783,-119.4011718,
Ellison Bay,10453,Ellison Bay,55,WI,Wisconsin,Door,54210,45.2547094,-87.0715033,165
Ellisport,10454,Ellisport,53,WA,Washington,King,98070,47.4203764,-122.4354046,
Elliston,10455,Elliston,30,MT,Montana,Powell,59728,46.5621548,-112.4308555,219
Elliston,10456,Elliston,51,VA,Virginia,Montgomery,24087,37.2165215,-80.2325427,902
Elliston,10457,Elliston,39,OH,Ohio,Ottawa,43432,41.5475496,-83.2802035,
Ellisville,10458,Ellisville,29,MO,Missouri,Saint Louis,63021 63011,38.5925532,-90.5870686,9133
Ellisville,10459,Ellisville,17,IL,Illinois,Fulton,61431,40.6267064,-90.3051249,96
Ellisville,10460,Ellisville,28,MS,Mississippi,Jones,39437,31.6040538,-89.1956142,4448
Elloree,10461,Elloree,45,SC,South Carolina,Orangeburg,29047,33.5309936,-80.5720319,692
Ellport,10462,Ellport,42,PA,Pennsylvania,Lawrence,16117,40.8639527,-80.2589508,1180
Ellsinore,10463,Ellsinore,29,MO,Missouri,Carter,63937,36.9342189,-90.7467876,446
Ellston,10464,Ellston,19,IA,Iowa,Ringgold,50074,40.8402713,-94.1085622,43
Ellsworth,10465,Ellsworth,23,ME,Maine,Hancock,4605,44.5434095,-68.4194642,7741
Ellsworth,10466,Ellsworth,20,KS,Kansas,Ellsworth,67439,38.7305648,-98.2281126,3120
Ellsworth,10467,Ellsworth,55,WI,Wisconsin,Pierce,54010 54011,44.7321897,-92.4874124,3284
Ellsworth,10468,Ellsworth,42,PA,Pennsylvania,Washington,15331,40.1120165,-80.0172747,1027
